Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.9,Bergrivier,6/30/2022,11/19/2019,1082488,1422645,1625880,169440,373952,31880,6,8.5,1.8,,,,,,,,,,,,,1,0.77,23
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,6/30/2022,11/12/2019,1381959,5071590,5529427,365340,3782128,31880,37.3,4.65,4.5,,,,,,,,,,,,,1,0.32,96
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,6/30/2022,11/13/2019,3476207,5667381,7402536,106620,3819709,31880,25.8,9,2.6,,,,,,,,,,,,,1,0.48,54
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,6/30/2022,11/12/2019,3455600,9938498,11475000,583600,7435800,63750,30,6,,15,,,,,,,,,,,,1,0.35,87
B0326,BRIDGE OVER RONDEGATRIVIER,Bridge,Bridge,12/3/2019,  DR02182,0.44,Cederberg,6/30/2022,11/12/2019,1059775,2510550,2677920,54240,1563905,31880,20,4.2,3,,,,,,,,,,,,,1,0.42,71
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,6/30/2022,11/11/2019,1788991,3911022,4628976,284790,2555195,31880,26.4,5.5,4.1,,,,,,,,,,,,,1,0.45,63
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,6/30/2022,11/19/2019,2586472,5319298,5753703,244350,2922881,31880,19.2,9.4,2.4,,,,,,,,,,,,,1,0.49,52
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,6/30/2022,11/27/2019,1625716,3664955,3975436,43967,2305753,31880,29,4.3,3.75,,,,,,,,,,,,,1,0.42,70
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,6/30/2022,11/13/2019,886485,1967815,2172941,26150,1260306,31880,9.6,7.1,1.69,,,,,,,,,,,,,1,0.42,70
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,6/30/2022,11/13/2019,3315023,6059961,7938120,209502,4413595,31880,30,8.3,4.25,,,,,,,,,,,,,1,0.44,64
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,6/30/2022,11/20/2019,971571,2229814,2721277,160480,1589226,31880,11,7.76,3.5,,,,,,,,,,,,,1,0.42,71
B0474,BREELAAGTE RIVER,Bridge,Bridge,10/26/2020,DR01688,14.83,Kannaland,6/30/2022,10/26/2020,2293014,4737058,5512052,0,3219038,31880,19,9.1,2.04,,,,,,,,,,,,,1,0.42,71
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,6/30/2022,11/7/2019,3233455,3293057,4227288,63830,930003,31880,30,4.42,1.67,,,,,,,,,,,,,1,0.78,22
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,6/30/2022,11/5/2019,10065331,11974622,13971090,832120,3073640,31880,66.4,6.6,0,,,,,,,,,,,,,1,0.78,22
