Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.9,Bergrivier,West Coast,West Coast,6/30/2022,06. Abutments, 120. Seal cracks,U1,3,790,m,2370,2,4,1,42,1
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.9,Bergrivier,West Coast,West Coast,6/30/2022,06. Abutments, 120. Seal cracks,U2,3,790,m,2370,2,4,1,42,1
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.9,Bergrivier,West Coast,West Coast,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,200,790,L,158000,3,4,4,3,3
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.9,Bergrivier,West Coast,West Coast,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),U1,10,670,No,6700,1,1,9,134,1
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),U1,5,790,L,3950,1,1,4,101,1
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,10. Kerbs / Sidewalks," 614. Repair sidewalk surface (blocks, screed etc)",U1,1,790,m2,790,1,1,4,506,1
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,11. Parapet, 458. New/repair steel railing,AS,90,3280,m,295200,3,4,9,3,3
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,BU,10,6540,m,65400,2,4,9,14,2
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,06. Abutments, 120. Seal cracks,BU,8,790,m,6320,2,4,4,63,1
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,13. Pier Foundations, 120. Seal cracks,AP,12,790,m,9480,2,4,4,42,1
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,24,790,m,18960,2,4,4,21,1
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),AS,50,790,L,39500,2,4,1,3,3
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BU,4,8090,No,32360,4,4,9,28,1
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,06. Abutments, 120. Seal cracks,BU,12,790,m,9480,2,4,1,11,2
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,21. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BU,4,1140,No,4560,3,4,9,197,1
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,07. Wing/ Retaining Walls, 118. Repair spall (including honeycombing),BU,20,790,L,15800,2,4,1,6,3
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,100,1010,m,101000,4,4,9,9,3
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,11. Parapet, 456. New pedestrian parapet,AS,84,5390,m,452760,4,4,16,4,3
B0326,BRIDGE OVER RONDEGATRIVIER,Bridge,Bridge,12/3/2019,  DR02182,0.44,Cederberg,West Coast,West Coast,6/30/2022,11. Parapet, 104. Concrete (reinforced),P1,4,12990,m3,51960,3,4,4,8,3
B0326,BRIDGE OVER RONDEGATRIVIER,Bridge,Bridge,12/3/2019,  DR02182,0.44,Cederberg,West Coast,West Coast,6/30/2022,21. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BU,2,1140,No,2280,4,4,9,395,1
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,240,1010,m,242400,4,4,9,4,3
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,05. Abutment Foundations, 156. Gabion (mattresses and boxes),U2,3,3280,m3,9840,2,4,4,41,1
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,10,360,No,3600,3,4,16,444,1
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,20. Decks and Slabs, 120. Seal cracks,AS,15,790,m,11850,2,4,4,34,1
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5700,No,11400,2,4,1,9,3
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,21. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),"BU,AP",5,1140,No,5700,2,4,1,18,2
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,14. Piers & Columns, 120. Seal cracks,P1,3,790,m,2370,2,4,0,0,3
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,40,1010,m,40400,1,1,4,10,3
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,20. Decks and Slabs, 120. Seal cracks,S1,2,790,m,1580,2,4,4,253,1
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,17. Expansion Joints, 316. Replace pressfit seal with silicone,P1,10,1660,m,16600,2,4,4,24,1
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,200,790,L,158000,2,4,4,3,3
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,09. Superstructure Drainage, 206. Clear channel,AS,60,160,m,9600,1,1,4,42,1
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,20,790,L,15800,2,4,0,0,3
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AP,6,790,No,4740,2,4,1,21,2
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),BU,2,790,L,1580,2,4,1,63,1
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,08. Surfacing, 117. Repair concrete topping,S1,4.3,8090,m3,34787,1,1,1,3,3
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,1,790,L,790,2,4,1,127,1
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,14. Piers & Columns, 103. Clean concrete surface,AP,8,160,m2,1280,1,1,1,78,1
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,1,790,L,790,3,4,1,127,1
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),S1,6,790,No,4740,1,1,1,21,2
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,06. Abutments, 120. Seal cracks,BU,3,790,m,2370,2,4,9,380,1
