Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.90,Bergrivier,West Coast,West Coast,6/30/2022,06. Abutments, 120. Seal cracks,U1,3.00,790.00,m,2370.00,2,4,1,42.00,1
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.90,Bergrivier,West Coast,West Coast,6/30/2022,06. Abutments, 120. Seal cracks,U2,3.00,790.00,m,2370.00,2,4,1,42.00,1
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.90,Bergrivier,West Coast,West Coast,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,200.00,790.00,L,158000.00,3,4,4,3.00,3
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.90,Bergrivier,West Coast,West Coast,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),U1,10.00,670.00,No,6700.00,1,1,9,134.00,1
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),U1,5.00,790.00,L,3950.00,1,1,4,101.00,1
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,10. Kerbs / Sidewalks," 614. Repair sidewalk surface (blocks, screed etc)",U1,1.00,790.00,m2,790.00,1,1,4,506.00,1
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,11. Parapet, 458. New/repair steel railing,AS,90.00,3280.00,m,295200.00,3,4,9,3.00,3
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,BU,10.00,6540.00,m,65400.00,2,4,9,14.00,2
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,06. Abutments, 120. Seal cracks,BU,8.00,790.00,m,6320.00,2,4,4,63.00,1
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,13. Pier Foundations, 120. Seal cracks,AP,12.00,790.00,m,9480.00,2,4,4,42.00,1
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,24.00,790.00,m,18960.00,2,4,4,21.00,1
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),AS,50.00,790.00,L,39500.00,2,4,1,3.00,3
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BU,4.00,8090.00,No,32360.00,4,4,9,28.00,1
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,06. Abutments, 120. Seal cracks,BU,12.00,790.00,m,9480.00,2,4,1,11.00,2
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,21. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BU,4.00,1140.00,No,4560.00,3,4,9,197.00,1
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,07. Wing/ Retaining Walls, 118. Repair spall (including honeycombing),BU,20.00,790.00,L,15800.00,2,4,1,6.00,3
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,100.00,1010.00,m,101000.00,4,4,9,9.00,3
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,11. Parapet, 456. New pedestrian parapet,AS,84.00,5390.00,m,452760.00,4,4,16,4.00,3
B0326,BRIDGE OVER RONDEGATRIVIER,Bridge,Bridge,12/3/2019,  DR02182,0.44,Cederberg,West Coast,West Coast,6/30/2022,11. Parapet, 104. Concrete (reinforced),P1,4.00,12990.00,m3,51960.00,3,4,4,8.00,3
B0326,BRIDGE OVER RONDEGATRIVIER,Bridge,Bridge,12/3/2019,  DR02182,0.44,Cederberg,West Coast,West Coast,6/30/2022,21. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BU,2.00,1140.00,No,2280.00,4,4,9,395.00,1
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,240.00,1010.00,m,242400.00,4,4,9,4.00,3
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,05. Abutment Foundations, 156. Gabion (mattresses and boxes),U2,3.00,3280.00,m3,9840.00,2,4,4,41.00,1
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,10.00,360.00,No,3600.00,3,4,16,444.00,1
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,20. Decks and Slabs, 120. Seal cracks,AS,15.00,790.00,m,11850.00,2,4,4,34.00,1
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5700.00,No,11400.00,2,4,1,9.00,3
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,21. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),"BU,AP",5.00,1140.00,No,5700.00,2,4,1,18.00,2
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,14. Piers & Columns, 120. Seal cracks,P1,3.00,790.00,m,2370.00,2,4,0,0.00,3
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,40.00,1010.00,m,40400.00,1,1,4,10.00,3
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,20. Decks and Slabs, 120. Seal cracks,S1,2.00,790.00,m,1580.00,2,4,4,253.00,1
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,17. Expansion Joints, 316. Replace pressfit seal with silicone,P1,10.00,1660.00,m,16600.00,2,4,4,24.00,1
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,200.00,790.00,L,158000.00,2,4,4,3.00,3
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,09. Superstructure Drainage, 206. Clear channel,AS,60.00,160.00,m,9600.00,1,1,4,42.00,1
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,20.00,790.00,L,15800.00,2,4,0,0.00,3
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AP,6.00,790.00,No,4740.00,2,4,1,21.00,2
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),BU,2.00,790.00,L,1580.00,2,4,1,63.00,1
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,08. Surfacing, 117. Repair concrete topping,S1,4.30,8090.00,m3,34787.00,1,1,1,3.00,3
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,1.00,790.00,L,790.00,2,4,1,127.00,1
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,14. Piers & Columns, 103. Clean concrete surface,AP,8.00,160.00,m2,1280.00,1,1,1,78.00,1
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,1.00,790.00,L,790.00,3,4,1,127.00,1
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),S1,6.00,790.00,No,4740.00,1,1,1,21.00,2
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,06. Abutments, 120. Seal cracks,BU,3.00,790.00,m,2370.00,2,4,9,380.00,1
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,03. Waterway, 207. Clear debris,S1,2.00,790.00,m3,1580.00,1,1,1,63.00,1
