Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.90,Bergrivier,West Coast,West Coast,6/30/2022,87.50,77.86
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,91.72,73.71
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,West Coast,West Coast,6/30/2022,76.56,75.86
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,West Coast,West Coast,6/30/2022,86.61,59.05
B0326,BRIDGE OVER RONDEGATRIVIER,Bridge,Bridge,12/3/2019,  DR02182,0.44,Cederberg,West Coast,West Coast,6/30/2022,93.75,86.98
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,Ceres,West Coast,6/30/2022,84.49,86.80
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,West Coast,West Coast,6/30/2022,92.45,85.97
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,Central Karoo,Central Karoo,6/30/2022,92.19,97.00
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,90.56,58.76
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,76.34,56.41
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,81.94,83.17
B0474,BREELAAGTE RIVER,Bridge,Bridge,10/26/2020,DR01688,14.83,Kannaland,,Garden Route (Eden),6/30/2022,85.94,83.71
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,77.90,83.04
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,85.71,78.94
B0484,Malgas River,Bridge,Bridge,11/18/2019,DR01640,5.61,George,,Garden Route (Eden),6/30/2022,97.92,89.66
B0485,Witte Els River 1,Bridge,Bridge,11/8/2019,DR01599,13.96,George,,Garden Route (Eden),6/30/2022,94.17,62.95
B0485A,Witte Els River 2,Bridge,Bridge,11/8/2019,DR01599,13.91,George,,Garden Route (Eden),6/30/2022,93.06,85.46
B0485B,Witte Els River 3,Bridge,Bridge,11/8/2019,DR01599,13.20,George,,Garden Route (Eden),6/30/2022,96.67,93.11
B0486,Moeras River,Bridge,Bridge,11/8/2019,DR01599,15.98,George,,Garden Route (Eden),6/30/2022,100.00,100.00
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,85.71,58.67
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,83.71,79.74
B0491,VETTE RIVER AT RIVERSDALE,Bridge,Bridge,11/14/2019,DR01568,51.61,Hessequa,,Garden Route (Eden),6/30/2022,80.92,60.66
B0495,BRIDGE OVER SANDRIVIER AT MODDERDRIFT FARM,Bridge,Bridge,10/31/2019,DR01489+,0.53,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,65.56,51.94
B0496,BRIDGE OVER HEX RIVER AT MODDERDRIFT FARM,Bridge,Bridge,10/31/2019,DR01489+,0.38,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,81.25,77.04
B0498,WELGEMOED RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR01479+,0.76,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,100.00,100.00
B0499,WINTERHOEK RIVER,Bridge,Bridge,11/20/2019,DR01476+,0.19,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,92.86,92.16
B0501,KLEIN BERG RIVER,Bridge,Bridge,11/19/2019,DR01464+,0.88,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,89.06,81.64
B0502,BUFFELS RIVER CAUSEWAY FRORISKRAAL,Bridge,Bridge Cellular,6/2/2020,DR01463,7.98,Laingsburg,Central Karoo,Central Karoo,6/30/2022,96.23,92.33
B0503,KROM RIVER,Bridge,Bridge,11/19/2019,DR01461+,0.72,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,87.05,83.11
B0504,KLEIN BERG RIVER,Bridge,Bridge,11/19/2019,DR01461+,5.89,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,89.73,57.83
B0505,SCHAAP RIVER NO 2,Bridge,Bridge,11/11/2019,DR01458+,10.62,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,89.44,86.64
B0505A,SCHAAP RIVER NO 1,Bridge,Bridge,11/11/2019,DR01458+,10.22,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,89.44,86.64
B0506,WATERFALL RIVER,Bridge,Bridge,11/18/2019,DR01444+,2.61,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,87.28,83.89
B0507,BRIDGE OVER HEX RIVER NEAR DE DOORNS,Bridge,Bridge,10/30/2019,DR01438+,0.60,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,82.81,54.21
B0508,HEX RIVER,Bridge,Bridge,7/10/2002,DR01438,5.60,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,83.06,76.77
B0509,WABOOMS RIVER NO 2,Bridge,Bridge,11/14/2019,DR01434+,5.69,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,96.67,92.83
