Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
B0120,PYLS RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR02159+,7.9,Bergrivier,6,8.5,1,Simply supported,1/1/1999
B0317,RIET RIVER,Bridge,Bridge,11/12/2019,DR02244+,25.63,Witzenberg,37.3,4.65,4,Continuous,1/1/1926
B0320,BRIDGE OVER WATERVALSRIVIER,Bridge,Bridge,11/13/2019,DR02196,23.89,Cederberg,25.8,9,4,Simply supported,1/1/1968
B0325,RONDEGAT RIVER AT CLANWILLIAM DAM,Bridge,Bridge - Arch,11/12/2019,DR02183,14.21,Cederberg,30,6,2,Frame,1/1/1935
B0326,BRIDGE OVER RONDEGATRIVIER,Bridge,Bridge,12/3/2019,  DR02182,0.44,Cederberg,20,4.2,2,Simply supported,1/1/1951
B0327,BRIDGE OVER THEERIVIER,Bridge,Bridge,12/3/2019, DR02176,24.44,Cederberg,26.4,5.5,3,Simply supported,1/1/1959
B0328,KROM ANTONIES RIVER,Bridge,Bridge,11/14/2019,DR02162+,34.42,Bergrivier,19.2,9.4,2,Simply supported,1/1/1970
B0436,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,  DR02383,10.07,Beaufort West,29,4.3,3,Simply supported,1/1/1952
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,9.6,7.1,1,Simply supported,1/1/1952
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,30,8.3,6,Simply supported,1/1/1958
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,11,7.76,1,Simply supported,1/1/1951
B0474,BREELAAGTE RIVER,Bridge,Bridge,10/26/2020,DR01688,14.83,Kannaland,19,9.1,2,Simply supported,1/1/1951
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,30,4.42,6,Simply supported,1/1/2000
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,66.4,6.6,2,Continuous,1/1/2000
B0484,Malgas River,Bridge,Bridge,11/18/2019,DR01640,5.61,George,9.3,7.3,1,Arch,1/1/1904
B0485,Witte Els River 1,Bridge,Bridge,11/8/2019,DR01599,13.96,George,6.66,3.6,1,Frame,1/1/2000
B0485A,Witte Els River 2,Bridge,Bridge,11/8/2019,DR01599,13.91,George,6.67,3.2,1,Frame,1/1/2000
B0485B,Witte Els River 3,Bridge,Bridge,11/8/2019,DR01599,13.2,George,7.25,3.2,1,Frame,1/1/2000
B0486,Moeras River,Bridge,Bridge,11/8/2019,DR01599,15.98,George,26,3.5,4,Simply supported,1/1/2000
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,64.1,4.25,5,Simply supported,1/1/2000
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,39.5,9.24,8,Simply supported,
B0491,VETTE RIVER AT RIVERSDALE,Bridge,Bridge,11/14/2019,DR01568,51.61,Hessequa,58.6,9.5,6,Simply supported,1/1/1959
B0495,BRIDGE OVER SANDRIVIER AT MODDERDRIFT FARM,Bridge,Bridge,10/31/2019,DR01489+,0.53,Breede Vallei,8.7,3.7,1,Simply supported,1/1/1999
B0496,BRIDGE OVER HEX RIVER AT MODDERDRIFT FARM,Bridge,Bridge,10/31/2019,DR01489+,0.38,Breede Vallei,20,5,2,Simply supported,1/1/1954
B0498,WELGEMOED RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR01479+,0.76,Witzenberg,7,7.4,1,Simply supported,1/1/1999
B0499,WINTERHOEK RIVER,Bridge,Bridge,11/20/2019,DR01476+,0.19,Witzenberg,19.9,4.85,2,Simply supported,1/1/1946
B0501,KLEIN BERG RIVER,Bridge,Bridge,11/19/2019,DR01464+,0.88,Witzenberg,18.6,4.9,2,Simply supported,1/1/1953
B0503,KROM RIVER,Bridge,Bridge,11/19/2019,DR01461+,0.72,Witzenberg,29,10.35,3,Simply supported,1/1/1921
B0504,KLEIN BERG RIVER,Bridge,Bridge,11/19/2019,DR01461+,5.89,Witzenberg,39.2,4.9,4,Simply supported,1/1/1958
B0505,SCHAAP RIVER NO 2,Bridge,Bridge,11/11/2019,DR01458+,10.62,Witzenberg,7,13,1,Simply supported,1/1/1999
B0505A,SCHAAP RIVER NO 1,Bridge,Bridge,11/11/2019,DR01458+,10.22,Witzenberg,7,13,1,Simply supported,1/1/1999
B0506,WATERFALL RIVER,Bridge,Bridge,11/18/2019,DR01444+,2.61,Witzenberg,18.8,4.84,2,Simply supported,1/1/1954
B0507,BRIDGE OVER HEX RIVER NEAR DE DOORNS,Bridge,Bridge,10/30/2019,DR01438+,0.6,Breede Vallei,30,9.5,3,Simply supported,1/1/1956
B0508,HEX RIVER,Bridge,Bridge,7/10/2002,DR01438,5.6,Breede Vallei,23.6,4.25,1,Simply supported,1/1/1932
B0509,WABOOMS RIVER NO 2,Bridge,Bridge,11/14/2019,DR01434+,5.69,Witzenberg,6.7,10.4,1,Simply supported,1/1/1968
B0510A,WABOOMS RIVER NO 1,Bridge,Bridge,11/14/2019,DR01434+,3.33,Witzenberg,7,10.85,1,Simply supported,1/1/1935
B0512,Touws River,Bridge,Bridge,10/29/2019,DR0142,21.3,Breede Vallei,17.8,6.1,3,Simply supported,1/1/1946
B0513,HARTEBEEST RIVER BRIDGE,Bridge,Bridge,10/31/2019,DR01425,0.63,Breede Vallei,9.7,4.64,1,Simply supported,1/1/1947
B0514,HARTEBEEST RIVER BRIDGE,Bridge,Bridge,10/31/2019,DR01418,3.42,Breede Vallei,9.9,8.26,1,Simply supported,
B0518,KONINGS RIVER,Bridge,Bridge,11/17/2019,DR01334,9.33,Langeberg,28.4,6.2,4,Continous and simply supported,1/1/1937
